English Word,Persian Translation,Encyclopedia Translation,User Suggestion
principal part,جزء اصلی,,
principal point,نقطۀ اصلی,,
principal root,ریشۀ اصلی,,
principal subspace,زیرفضای اصلی,,
principal value,مقدار اصلی,,
principle,اصل,,
principle of duality → duality principle,,,
principle of equivalence,اصل هم‌ارزی,,
principle of extensionality → axiom of extensionality,,,
principle of inclusion-exclusion → inclusion-exclusion principle,,,
principle of induction,اصل استقرا,,
principle of insufficient reason,اصل عدم کفایت دلیل,,
principle of mathematical induction,اصل استقرای ریاضی,,
principle of nested intervals,اصل بازه‌های تودرتو,,
principle of optimality,اصل بهینگی,,
principle of superposition,اصل برهمنهی,,
principle of the maximum,اصل ماکسیمم,,
principle of the minimum,اصل مینیمم,,
prior density,چگالی پیشینی,,
prior distribution = priori distribution,توزیع پیشینی,,
prior probability = priori probality,احتمال پیشینی,,
priori distribution → prior distribution,,,
priori estimate,برآورد پیشینی,,
priori model,مدل پیشینی,,
priori probability → prior probability,,,
prism,منشور,,
prismoid,منشوروار,,
probabilistic method,روش احتمالاتی,,
probabilistic number theory,نظریۀ احتمالاتی اعداد,,
probability,احتمال,,
probability density,چگالی احتمال,,
probability distribution,توزیع احتمال,,
probability frequency function,تابع فراوانی احتمال,,
probability generating function,تابع مولد احتمال,,
probability integral,انتگرال احتمال,,
probability integral transform,تبدیل انتگرال احتمال,,
probability mass,جرم احتمال,,
probability measure,اندازۀ احتمال,,
probability ratio test,آزمون نسبت احتمال,,
probability sampling,نمونه‌گیری احتمال,,
probability space,فضای احتمال,,
probability theory,نظریۀ احتمال,,
probable error,خطای محتمل,,
problem,مسأله,,
procedure,شیوه,,
process,فرایند,,
product 1,ضرب,,
product 2,حاصل‏ضرب,,
product bundle,کلاف حاصل‏ضرب,,
product category,رستۀ حاصل‏ضرب,,
product measure,اندازۀ حاصل‏ضرب,,
product moment,گشتاور حاصل‏ضربی,,
product of cardinal numbers,حاصل‏ضرب اعداد اصلی,,
product of matrices,حاصل‏ضرب ماتریس‌ها,,
product of ordinal numbers,حاصل‏ضرب اعداد ترتیبی,,
product of sets 1,‏ضرب مجموعه‌ها,,
product of sets 2,حاصل‏ضرب مجموعه‌ها,,
product space,فضای حاصل‏ضرب,,
product topology,توپولوژی حاصل‏ضرب، توپولوژی حاصل‏ضربی,,
profile,نمایه,,
programme,برنامه,,
programming,برنامه‌سازی، برنامه‌نویسی,,
progression,تصاعد,,
projecting plane,صفحۀ مصوِّّر,,
projection 1,تصویر,,
projection 2,تصویر افکن، تصویرگر,,
projection 3,تصویر افکنی، تصویرگری,,
projection of a fiber bundle,تصویر کلاف تاری,,
projection operator,عملگر تصویر,,
projection plane,صفحۀ تصویر,,
projective class group,گروه رده‌های تصویری,,
projective coordinates,مختصات تصویری,,
projective differential geometry,هندسۀ دیفرانسیل تصویری,,
projective general linear group,گروه خطی عام تصویری,,
projective geometry,هندسۀ تصویری,,
projective group,گروه تصویری,,
projective limit,حد تصویری,,
projective limit group,گروه حد تصویری,,
projective limit space,فضای حد تصویری,,
projective line,خط تصویری,,
projective mapping,نگاشت تصویری,,
projective module,مدول تصویری,,
projective object,شیء تصویری,,
projective plane,صفحۀ تصویری,,
projective point,نقطۀ تصویری,,
projective space,فضای تصویری,,
projective special linear group,گروه خطی خاص تصویری,,
projective topology,توپولوژی تصویری,,
projector,تصویرگر,,
prolate cycloid = extended cycloid,چرخ‌زاد کشیده,,
prolate ellipsoid → stretched ellipsoid,,,
pronormal subgroup,زیرگروه نرمال‏گرا,,
proof,برهان، اثبات,,
proof by cases,برهان به روش حالت‌ها,,
proof by contradiction,برهان خلف، برهان مبتنی بر تناقض,,
proof by contraposition = contrapositire proof,برهان به روش عکس نقیض,,
proof of existence,برهان وجود,,
proof of uniqueness= uniqueness proof,برهان یکتایی,,
proof theory,نظریۀ برهان، نظریۀ برهان‏ها,,
propagation,انتشار,,
propagation of errors,انتشار خطاها,,
propagation velocity,سرعت انتشار,,
proper class,ردۀ سره,,
proper factor,عامل سره,,
proper fraction,کسر سره,,
proper node,گره سره,,
proper quadric surface,رویۀ درجۀ دوی سره,,
proper subgraph,زیرگراف سره,,
proper subgroup,زیرگروه سره,,
proper subset,زیرمجموعۀ سره,,
proper transform,تبدیل‌یافتۀ سره، تبدیل سره,,
proper value → eigenvalue,,,
proper vector → eigenvector,,,
properly discontinuous transformation group,گروه تبدیل‌های سره‌ناپیوسته,,
properly divergent sequence,دنبالۀ سره‏واگرا,,
properly divergent series,سری سره‏واگرا,,
property,ویژگی,,
proportational parts,جزءهای متناسب,,
proportional quantities → directly proportional quantities,,,
proportion,تناسب,,
proportion of two quantities,نسبت دو کمیت,,
proportional allocation,تخصیص متناسب,,
proportional sampling,نمونه‌گیری متناسب,,
proposition 1,گزاره,,
proposition 2,قضیه,,
propositional calculus,حساب گزاره‌ها,,
propositional connectives,رابط‌‏‏های گزاره‌ای,,
propositional function,تابع گزاره‌ای,,
propositional logic,منطق گزاره‌ها,,
propositional variable,متغیر گزاره‌ای,,
prospective cohort study,مطالعۀ هم‌گروهی آینده‌نگر,,
protractor,نقاله,,
proximity function,تابع نزدیکی,,
pseudoanalytic function,تابع تحلیلی‌نما,,
pseudocompact space,فضای شبه فشرده,,
pseudodistance function → psudometric,,,
pseudofunction,تابع‌نما,,
pseudograph,گراف‌نما,,
pseudomanifold,شبه خمینه‌,,
pseudometric = pseudodistance function,تابع شبه متریک‌,,
pseudometric space,فضای شبه متریک‌,,
pseudonorm,شبه نرم,,
pseudoordering relation = preordering relation,رابطۀ شبه‌ ترتیبی,,
pseudo orthogonal group,گروه شبه متعامد,,
pseudo prime number,عدد شبه اول,,
pseudorandom number,عدد شبه‏ تصادفی‏,,
pseudo-Riemannian metric,متریک شبه‌‌ریمانی,,
pseudosphere,شبه کره,,
pseudotensor,شبه تانسور,,
pseudotensorial form,صورت‌ شبه تانسوری‌,,
pseudovector,شبه بردار,,
p-Sylow subgroup → Sylow p-subgroup,,,
Ptolemaic system,هیئت بطلمیوسی,,
pulsating current,جریان تپنده,,
pure birth process,فرایند زاد خالص,,
pure death process,فرایند مرگ خالص,,
pure geometry,هندسۀ محض,,
pure ideal,ایده‏آل خالص,,
pure imaginary number,عدد انگاری محض,,
pure mathematics,ریاضیات محض، ریاضی محض,,
pure projective geometry,هندسۀ تصویری محض,,
pure recurring continued fraction,کسر مسلسل بازگشتی خالص,,
pyramid,هرم,,
pyramidal surface,رویۀ هرمی,,
Pythagorean closure,بستار فیثاغورسی,,
Pythagorean extension,گسترش فیثاغورسی,,
Pythagorean field,میدان فیثاغورسی,,
Pythagorean identities,اتحادهای فیثاغورسی,,
Pythagorean numbers,اعداد فیثاغورثی,,
Pythagorean relation,رابطۀ فیثاغورسی,,
Pythagorean theorem,قضیۀ فیثاغورثی,,
Pythagorean triple,سه‌تایی فیثاغورسی,,
QC → quality control,,,
quadrangle → quadrilateral,,,
quadrant 1,ربع,,
quadrant 2 = quadrant of a circle,ربع دایره,,
quadrant of a circle → quadrant 2,,,
quadrant relations,رابطه‌های ربعی,,
quadratic congruence,همنهشتی درجۀ دوم,,
quadratic curve,خم درجۀ دوم,,
quadratic equation,معادلۀ درجۀ دوم,,
quadratic field,میدان درجۀ دوم,,
quadratic form,صورت درجۀ دوم,,
quadratic formula,فرمول درجۀ دوم,,
quadratic function,تابع درجۀ دوم,,
quadratic loss function,تابع زیان درجۀ دوم,,
quadratic mean,میانگین درجۀ دوم,,
quadratic nonresidue modulo m,ناماندۀ درجۀ دوم به پیمانۀ m,,
quadratic polynomial,چندجمله‌ای درجۀ دوم,,
quadratic residue modulo m,ماندۀ درجۀ دوم به پیمانۀ m,,
quadratic term,جملۀ درجۀ دوم,,
quadratric reciprocity law,قانون تقابل درجۀ دوم,,
quadrature cone → quadric conical surface,,,
quadrature 1,تربیع,,
quadrature 2,انتگرال‌گیری، کوادراتور,,
quadrature 3,تعیین مساحت,,
quadrature 4,انتگرال‌گیری عددی,,
quadrature of circle,تربیع دایره,,
quadric cone,مخروط درجۀ دو,,
quadric conical surface = quadrature cone,رویۀ مخروطی درجۀ دوم,,
quadrics → quadric surfaces,,,
quadrics surfaces = quadrics = surfaces of the second order,رویه‌های درجۀ دوم,,
quadrilateral = quadrangle,چهارضلعی,,
quadrinomial distribution,توزیع چهارجمله‌ای,,
quadruple 1,چهارتایی,,
quadruple 2,چهارقطبی، چهارقطبه,,
quadruple vector product,حاصل‏ضرب چهاربرداری,,
qualitative data,داده‌های کیفی,,
qualitative properties,ویژگی‌های کیفی,,
qualitative theory,نظریۀ کیفی,,
quality control = QC,کنترل کیفیت,,
quantification,تسویر,,
quantified statement,گزارۀ مسور,,
quantifier,سور,,
quantifying symbol,نماد سور,,
quantile,چندک,,
quantitative data,داده‌های کمّی,,
quantity,کمّیت,,
quantization,کوانتش,,
quantized field,میدان کوانتیده,,
quantum,کوانتوم,,
quantum field theory,نظریۀ کوانتومی میدان,,
quantum mechanics,مکانیک کوانتومی,,
quantum statistical mechanics,مکانیک آماری کوانتومی,,
quantum statistics,آمار کوانتومی,,
quartic equation = biquadratic equation 1,معادلۀ درجۀ چهارم,,
quartic symmetry,تقارن چهارمحوری,,
quartile,چارک,,
quartite deviation,انحراف چارکی,,
quasi-analylic function,تابع شبه‌تحلیلی,,
quasi-bounded harmonic function,تابع همساز شبه‌کراندار,,
quasi-compact space,فضای شبه‌فشرده,,
quasi-conformal mapping,نگاشت شبه‌همدیس,,
quasi-continuous function,تابع شبه‌پیوسته,,
quasi-cyclic group,گروه شبه‌‌دوری,,
quasi-dual space,فضای شبه‌دوگان,,
quasi-group,شبه‌ گروه,,
quasi-invariant measure,اندازۀ شبه‌ناوردا,,
quasi-inverse element,عنصر شبه‌‌وارون,,
quasi-invertible element,عنصر شبه‌ وارون‌پذیر,,
quasi-linear operator,عملگر شبه‌ خطی,,
quasi-norm of a vetor,شبه‌نرم‌ بردار,,
quasi-normal family of analytic functions,خانوادۀ شبه ‌نرمال تابع‌های تحلیلی,,
quasi-normed linear space,فضای خطی شبه ‌نرم‏دار,,
quasi-perfect number,عدد شبه‌ تام,,
quasi-periodic motion,حرکت شبه ‌دوره‌ای,,
quasi-periodic solution,جواب شبه‌ دوره‌ای,,
quasi-random sampling,نمونه‌گیری شبه‌ تصادفی,,
quasi-regular element,عنصر شبه‌ منظم,,
quasi-stable distribution,توزیع شبه‌‌ پایدار,,
quaternary relation,رابطۀ چهارتایی,,
quaternion,چهارگان,,
quaternion algebra,جبر چهارگان‌ها، جبر چهارگانی,,
quaternion group,گروه چهارتاییها، گروه چهارگانی,,
quaternion vector bundle,کلاف برداری چهارگانی,,
queue,صف,,
queuing discipline,نظام‌ صف‌بندی,,
queuing model,مدل صف,,
queuing theory,نظریۀ صف,,
quintic curve,خم درجۀ پنجم,,
quintic equation,معادلۀ درجۀ پنجم,,
quotient,خارج‌قسمت,,
quotient algebra,جبر خارج‌قسمت‌ها,,
quotient bundle,کلاف خارج‌قسمتی،‌ کلاف بهری,,
quotient field = field of quotients,میدان خارج‌قسمت‌ها,,
quotient group = factor group,گروه خارج‌قسمتی،‌ گروه بهری,,
quotient ring=factor ring,حلقۀ خارج‌قسمتی، حلقۀ بهری,,
quotient set,مجموعۀ خارج‌قسمتی، مجموعۀ بهری,,
quotient space = factor space,فضای خارج‌قسمتی، فضای بهری,,
quotient system,دستگاه خارج‌قسمتی,,
quotient topology,توپولوژی خارج قسمتی، توپولوژی بهری,,
Raabe convergence test,آزمون همگرایی رابه,,
rabatting,تسطیح,,
radial acceleration,شتاب شعاعی,,
radial basis function,تابع پایۀ شعاعی,,
radial distance,فاصلۀ شعاعی,,
radial distribution function,تابع توزیع شعاعی,,
radian,رادیان,,
radiant center,مرکز تابش,,
radiating element,عنصر تابان,,
radiation,تابش,,
radiation condition,شرط تابش,,
radiator,تابشگر,,
radical,رادیکال,,
radical axis,محور اصلی,,
radical center,مرکز اصلی,,
radical of a ring,رادیکال حلقه,,
radical of an ideal,رادیکال ایده‏آل,,
radical plane,صفحۀ اصلی,,
radical sign,نماد رادیکال,,
radicand,عبارت زیر رادیکال، رادیکال‌وند,,
radius,شعاع,,
radius of a sphere,شعاع کره,,
radius of convergence,شعاع همگرایی,,
radius of curvature,شعاع خمیدگی,,
radius of gyration,شعاع چرخش,,
radius of torsion,شعاع تاب,,
radius vector,بردار شعاعی,,
radiuse of a circle,شعاع دایره,,
radix 1,ریشه,,
radix 2,پایۀ (دستگاه عددی),,
radix point,ممیز,,
Radon measure,اندازۀ رادون,,
Radon-Nikodym derivative,مشتق رادون- نیکودیم,,
Radon-Nikodym theorem,قضیۀ رادون- نیکودیم,,
Ramanujan conjecture,حدس رامانوجان,,
Ramanujan graph,گراف رامانوجان,,
ramification,انشعاب,,
ramification index,شاخص انشعاب,,
ramification point,نقطۀ انشعاب,,
ramified analytic set,مجموعۀ تحلیلی منشعب,,
ramified covering,پوشش منشعب,,
ramified element,عنصر منشعب,,
random = stochastic,تصادفی‌,,
random choice,انتخاب تصادفی,,
random current,جریان تصادفی,,
random digit,رقم تصادفی,,
random distribution,توزیع تصادفی,,
random error,خطای تصادفی,,
random event,پیشامد تصادفی,,
random experiment,آزمایش تصادفی,,
random function,تابع تصادفی,,
random model,مدل تصادفی,,
random noise,نوفۀ تصادفی,,
random number,عدد تصادفی,,
random number table,جدول اعداد تصادفی,,
random ordered sample,نمونۀ مرتب تصادفی,,
random process → stochastic process,,,
random sample,نمونۀ تصادفی,,
random sampling procedure,شیوۀ نمونه‌گیری تصادفی,,
random sequence,دنبالۀ تصادفی,,
random variable,متغیر تصادفی,,
random walk,قدم زدن تصادفی، قدم زنی تصادفی,,
randomization,تصادفی‌سازی، تصادفیدن,,
randomization tests,آزمون‌های تصادفیسازی,,
randomized block design,طرح بلوکی تصادفی‌شده، طرح بلوکی تصادفیده,,
range 1,حوزۀ مقادیر,,
range 2,بُرد,,
range 3,دامنه [آمار],,
range of a correspondence,بُرد تناظر,,
range of a function,بُرد تابع,,
range of a variable,بُرد متغیر,,
range preserving map,نگاشت حافظ ‌بُرد,,
rank,رتبه,,
rank correlation,همبستگی رتبه‌ای,,
rank of a linear mapping,رتبۀ نگاشت خطی,,
rank of a matrix,رتبۀ ماتریس,,
rank of a quadric form,رتبۀ صورت درجۀ دو,,
rank of an observation,رتبۀ مشاهده,,
rank order statistics,آماره‌های ترتیبیِ رتبه‌ای,,
rank test,آزمون رتبه‏ای,,
rapidly decreasing distribution,توزیع تندنزولی,,
rapidly decreasing function,تابع تندنزولی,,
rapidly increasing function,تابع تندصعودی,,
rare set → nondense set,,,
rate 1,آهنگ، میزان,,
rate 2,نرخ,,
rate of change,آهنگ تغییر,,
rate of growth,آهنگ رشد,,
rate of interest,نرخ بهره,,
ratio,نسبت,,
ratio estimator,برآوردگر نسبتی,,
ratio of similarity,نسبت تشابه,,
ratio of similitude 1,نسبت تجانس,,
ratio of similitude 2,نسبت تشابه,,
ratio test,آزمون نسبت,,
rational approximation,تقریب گویا,,
rational canonical form,صورت متعارف گویا,,
rational curve,خم گویا,,
rational entire function,تابع تام گویا,,
rational form,صورت گویا,,
rational function,تابع گویا,,
rational number,عدد گویا، عدد مُنطق,,
rational-valued function,تابع گویامقدار,,
raw data,داده‏های خام,,
ray center → center of similitude,,,
ray→half-line,,,
Rayleigh distribution,توزیع ریلی,,
Rayleigh principle,اصل ریلی,,
Rayleigh quotient,خارج قسمت ریلی,,
Rayleigh-Ritz method,روش ریلی- ریتس,,
r-Betti group,گروه r-بتی,,
r-chain group,گروه r-زنجیری,,
r-dimensional homology group,گروه مانستگی r بُعدی,,
reachable set → accessible set,,,
reaction,واکنش,,
real analysis,آنالیز حقیقی,,
real analytic function,تابع تحلیلی حقیقی,,
real axis,محور حقیقی,,
real Banach space,فضای باناخ حقیقی,,
real field,میدان حقیقی,,
real interest rate → real rate of interest,,,
real line,خط حقیقی,,
real linear space,فضای خطی حقیقی,,
real number,عدد حقیقی,,
real number field,میدان اعداد حقیقی,,
real number system,دستگاه اعداد حقیقی,,
real orthogonal group,گروه متعامد حقیقی,,
real part,جزء حقیقی,,
real power series,سری توانی حقیقی,,
real quadratic form,صورت درجۀ دوم حقیقی,,
real rate of interest= real interest rate,نرخ بهرۀ واقعی,,
real spectral measure,اندازۀ طیفی حقیقی,,
real unimodular group,گروه یکاهنگی حقیقی,,
real variable,متغیر حقیقی,,
real vector bundle,کلاف برداری حقیقی,,
real vector space,فضای برداری حقیقی,,
real-valued function,تابع حقیقی‌مقدار,,
rearrangement of a series,بازآرایش سری,,
rearrangement of the terms in a series,بازآرایش جمله‏های سری,,
reciprocal curve,خم عکس,,
reciprocal of a number,عکس عدد، وارون عدد,,
reciprocal equation,معادلۀ معکوسه,,
reciprocal spiral,مارپیچ عکس، مارپیچ معکوس,,
reciprocal theorem,قضیۀ دوگان,,
reciprocity law,قانون تقابل,,
rectangle,مستطیل، مربع مستطیل,,
rectangular Cartesian coordinate system,دستگاه مختصات دکارتی قائم,,
rectangular Cartesian coordinates,مختصات دکارتی قائم,,
rectangular distribution,توزیع مستطیلی,,
rectangular game,بازی مستطیلی,,
rectangular hyperbola,هذلولوی قائم,,
rectangular hyperbolic coordinates,مختصات هذلولوی قائم,,
rectangular parallelepiped,مکعب مستطیل,,
rectifiable curve,خم راستیدنی، خم طول‌پذیر,,
rectification of an arc,محاسبۀ طول کمان,,
rectilinear generators,مولدهای راست‌خط، مولدهای مستقیم‌الخط,,
rectilinear motion,حرکت راست‌خط، حرکت مستقیم‌الخط,,
recurrence formula,فرمول بازگشتی,,
recurrence relation,رابطه بازگشتی,,
recurrent Markov chain,زنجیر مارکوف بازگشتی,,
recurrent process,فرایند بازگشتی,,
recurrence relation = recursion relation,رابطۀ بازگشتی,,
recurrent sequence,دنبالۀ بازگشتی,,
recurrent state,وضعیت بازگشتی,,
recursion formula,فرمول بازگشتی,,
recursion relation → recurrence relation,,,
recursive definition,تعریف بازگشتی,,
recursive function,تابع بازگشتی,,
recursive process,فرایند بازگشتی,,
reduced character,سرشت تحویل‌یافته,,
reduced Clifford group,گروه تحویل‌یافتۀ کلیفورد,,
reduced cubic equation,معادلۀ درجۀ سوم ناقص,,
reduced form,صورت تحویل‌یافته,,
reduced fraction,کسر ساده‌شده، کسر تحویل‏یافته,,
reduced norm,نُرم تحویل‌یافته,,
reduced representation,نمایش تحویل‌یافته,,
reduced residue system modulo m,دستگاه مخفف مانده‌ها به پیمانۀ m,,
reduced trace,اثر تحویل‌یافته,,
reduced word,واژۀ تحویل‌یافته,,
reducibility,تحویل‌پذیری,,
reducible algebraic equation,معادلۀ جبری تحویل‌پذیر,,
reducible continuous geometry,هندسۀ پیوستۀ تحویل‌پذیر,,
reducible fraction,کسر ساده‌شدنی، کسر تحویل‌پذیر,,
reducible linear representation,نمایش خطی تحویل‌پذیر,,
reducible polynomial,چندجمله‌ای تحویل‌پذیر,,
reducible transformation,تبدیل تحویل‌پذیر,,
reducible variety,چندگونای تحویل‌پذیر,,
reducing invariant subspace,زیرفضای ناوردای تحویل‏گر,,
reducing subspace,زیرفضای تحویل‏گر,,
reductio ad absurdum,برهان خلف,,
reduction,تحویل، تلخیص، فروکاهش,,
reduction of a fraction to its lowest term,تحویل کسر به ساده‌ترین صورت,,
reduction of data → data reduction,,,
reduction theorem,قضیۀ تحویل,,
reductive group,گروه تحویلی,,
reductive Lie algebra,جبر لی تحویلی,,
reductive operator,عملگر تحویلی,,
reductive stabilizer,پایدارساز تحویلی,,
redundant equation 1,معادلۀ فزون‌دار,,
redundant equation 2,معادلۀ زاید,,
redundant number,عدد زاید,,
redundant relation,رابطۀ زاید,,
reference,مرجع,,
reference angle,زاویۀ مرجع,,
reference frame,دستگاه مرجع,,
reference point,نقطۀ مرجع,,
refinement,تظریف,,
refinement of a covering,تظریف پوشش,,
refinement of a normal chain in a group,تظریف زنجیر نرمال در گروه,,
refinement of a partition,تظریف افراز,,
reflected ray,پرتو بازتابیده,,
reflection 1,بازتاب,,
reflection 2,قرینه,,
reflection 3,قرینه‏یابی، تقارن,,
reflection coefficient,ضریب بازتاب,,
reflection in a line,تقارن نسبت به خط,,
reflection in a plane,تقارن نسبت به صفحه,,
reflection in a point,تقارن نسبت به نقطه,,
reflection in the origin,تقارن نسبت به مبدأ,,
reflection law,قانون بازتاب,,
reflection principle,اصل بازتاب,,
reflection symmetry → axial symmetry,,,
reflectivity,بازتابندگی,,
reflector,بازتابنده,,
reflex angle,زاویۀ مقعر، زاویۀ کاو,,
reflex quadrilateral = contraparallelogram,چهارضلعی پروانه‏ای,,
reflexive Banach space,فضای باناخ بازتابی,,
reflexive law,قانون بازتابی,,
reflexive locally convex space,فضای موضعی‏محدب بازتابی,,
reflexive relation,رابطۀ بازتابی,,
refraction,شکست,,
region,ناحیه,,
region of integration,ناحیۀ انتگرال‌گیری,,
regression,رگرسیون,,
regression analysis,تحلیل رگرسیونی,,
regression coefficient,ضریب رگرسیونی,,
regression curve,خم رگرسیون,,
regression estimator,برآوردگر رگرسیونی,,
regression line = line of regression,خط رگرسیون,,
regression model,مدل رگرسیونی,,
regret,تأسف,,
regret criterion,معیار تأسف,,
regret function,تابع تأسف,,
regula duorum falsorum = rule of double false position,قاعدۀ خطأین، قاعدۀ دوخطا,,
regula falsi = rule of false position,قاعدۀ خطا و تصحیح,,
regular Banach space,فضای باناخ منظم,,
regular character,سرشت منظم,,
regular dodecahedron,دوازده‌وجهی منتظم,,
regular element of a ring → invertible element of a ring,,,
regular element of Lie algebra,عنصر عادی جبر لی,,
regular embedding,نشاندن منظم، نشانش منظم,,
regular expression,عبارت منظم,,
regular function,تابع منظم,,
regular graph,گراف منتظم,,
regular heptagon,هفت‏ضلعی‌منتظم,,
regular icosahedron,بیست‌وجهی منتظم,,
regular ideal,ایده‏آل منظم,,
regular matrix = nonsingular matrix,ماتریس ناتکین,,
regular octahedron,هشت‌وجهی منتظم,,
regular point → simple point,,,
regular point of an analytic set,نقطۀ عادی مجموعۀ تحلیلی,,
regular polyhedral group,گروه چندوجهی منتظم,,
regular polyhedron,چندوجهی منتظم,,
regular representation,نمایش منظم,,
regular representation of a group,نمایش منظم گروه,,
regular sequence,دنبالۀ منظم,,
regular singular point,نقطۀ تکین عادی,,
regular solid,جسم منتظم,,
regular space,فضای منظم,,
regular tetrahedron,چهاروجهی منتظم,,
regular transformation,تبدیل منظم,,
regulator,تنظیم‌گر,,
regulator of an algebraic number field,تنظیم‌گر میدان اعداد جبری,,
rejection,رد,,
rejection of hypothesis,رد فرض,,
rejection region,ناحیۀ رد,,
related angle of an angle,زاویۀ وابسته به یک زاویه,,
relation,رابطه,,
relative closed set = relatively closed set,مجموعۀ ‌بستۀ نسبی، مجموعۀ نسبی‌بسته,,
relative complement,متمم نسبی,,
relative consistency,سازگاری نسبی,,
relative coordinates,مختصات نسبی,,
relative curvature,خمیدگی نسبی,,
relative density,چگالی نسبی,,
relative discriminant,مبیّن نسبی,,
relative efficiency,کارایی نسبی,,
relative error,خطای نسبی,,
relative extremum of a function,فرینۀ نسبی تابع,,
relative frequency,فراوانی نسبی,,
relative frequency distribution,توزیع فراوانی نسبی,,
relative frequency table,جدول فراوانی نسبی,,
relative information,اطلاع نسبی,,
relative maximum,ماکسیمم نسبی,,
relative minimum,مینیمم نسبی,,
relative neighborhood,همسایگی نسبی,,
relative open set = relatively open set,مجموعۀ باز نسبی، مجموعۀ نسبی‏باز,,
relative topology,توپولوژی نسبی,,
relative uniformity,یکنواختی نسبی,,
relative variance,واریانس نسبی,,
relative velocity,سرعت نسبی,,
relatively closed set → relative closed se,,,
relatively compact set,مجموعۀ نسبی‌فشرده,,
relatively dense set,مجموعۀ نسبی‌چگال,,
relatively open set → relative open set,,,
relativity,نسبیت,,
relativization,نسبی‌سازی,,
relativization of a topology,نسبی‌سازی توپولوژی,,
relativly prime numbers,اعداد نسبت به هم اول,,
reliability,قابلیت اعتماد,,
remainder,باقیمانده,,
remainder formula,فرمول باقیمانده,,
remainder theorem,قضیۀ باقیمانده,,
removable discontinuity,نا پیوستگی رفع‌شدنی، ناپیوستگی برداشتنی,,
removable singular point → removable singularity,,,
removable singularity = removable singular point,تکینۀ رفع شدنی، تکینۀ برداشتنی,,
renewal theory,نظریۀ تجدید,,
renormalization method,روش بازنرمال‌سازی,,
repeated block of a repeating decimal,جزء تکراری عدد اعشاری دوره‌ای,,
repeated integral → iterated integral,,,
repeated measurements model,مدل اندازه گیری‌های مکرر,,
repeated root,ریشۀ مکرر,,
repeated series → iterated series,,,
repeating decimal,کسر دهدهی دوره‌ای، کسر اعشاری دوره‌ای,,
replacement,جایگذاری,,
replicated experiment,آزمایش تکراری,,
replication,تکرار,,
replication of an experiment,تکرار آزمایش,,
representable functor,تابعگون نمایش‌پذیر,,
representation,نمایش,,
representation of a functional,نمایش تابعک,,
representation of a group = group representation,نمایش گروه,,
representation theory,نظریۀ نمایش‌ها,,
representative function,تابع نماینده,,
representative ring,حلقۀ نماینده‏ها,,
representative sample,نمونۀ نماینده,,
representing measure,اندازۀ نمایش‌دهنده,,
reproducing kernel,هستۀ بازتولیدگر,,
repulsion,دفع، رانش,,
repulsive force,نیروی دافعه، نیروی رانشی,,
resampling,بازنمونه‌گیری,,
residual analysis,تحلیل مانده‌ها,,
residual charge,بار باقیمانده,,
residual set = comeager,مجموعۀ مانده‌ای,,
residual spectrum,طیف مانده‌ای,,
residual sum of squares,مجموع توان‌های دوم مانده‌ها,,
residue,مانده,,
residue class,ردۀ مانده‌ها، ردۀ مانده‌ای,,
residue class algebra,جبر رده‌های مانده‌ای,,
residue class ring,حلقۀ رده‌های مانده‌ای,,
residue system modulo m,دستگاه مانده‌ها به پیمانۀ m,,
residue theorem,قضیۀ مانده‌ها,,
resistance,مقاومت,,
resolution of a vector,تجزیۀ بردار,,
resolvent kernel,هستۀ حلال,,
resolvent set,مجموعۀ حلاّل,,
resonance,تشدید,,
resonance theorem,قضیۀ تشدید,,
response surface,رویۀ پاسخ,,
response variable,متغیر پاسخ,,
rest point,نقطۀ سکون,,
restricted Lie algebra,جبر لی تحدیدیافته,,
restriction,تحدید,,
restriction map,نگاشت تحدید,,
restriction of a mapping = contraction of a mapping,تحدید نگاشت,,
resultant,برایند,,
resultant of forces,برایند نیروها,,
resultant of several equations,برایند چندمعادله,,
resultant of vectors,برایند بردارها,,
reticular density,چگالی مشبّکه‌ای,,
retract,درون‌بُرد,,
retraction,درون‌بَری,,
retrospective cohort study,مطالعۀ هم‌گروهی گذشته‌نگر,,
reverse curve → S-curve,,,
reverse order,ترتیب عکس,,
reverse process,فرایند برگشت، فرایند معکوس,,
reversibility principle,اصل برگشت‏پذیری,,
reversible engine,ماشین برگشت‌پذیر,,
rhombic dodecahedron,دوازده‌وجهی لوزوی,,
rhombic triacontahedron,سی‌وجهی لوزوی,,
rhomboid,لوزی‏نما,,
rhombus,لوزی,,
r-homology group,کوره r-مانستگی,,
Ricci curvature tensor,تانسور خمیدگی ریچی,,
Ricci flow,شارش ریچّی,,
Ricci tensor,تانسور ریچّی,,
Ricci's tensor analysis,آنالیز تانسوری ریچّی,,
Riemann continuation theorem,قضیۀ فرابُرد ریمان,,
Riemann function of the Cauchy problem,تابع ریمان مسألۀ کوشی,,
Riemann hypothesis,فرضیۀ ریمان,,
Riemann integral,انتگرال ریمان,,
Riemann mapping theorem,قضیۀ نگاشت ریمان,,
Riemann non-Euclidean geometry,هندسۀ نااقلیدسی ریمان,,
Riemann space = Riemannian space,فضای ریمان,,
Riemann sphere,کرۀ ریمان,,
Riemann surface,رویۀ ریمان,,
Riemann theta function,تابع تتای ریمان,,
Riemann zeta function,تابع زتای ریمان,,
Riemann-Christoffel tensor,تانسور ریمان- کریستوفل,,
